Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name
"Jan 29, 2025",33.60,34.00,31.65,32.07,32.07,"23,703,899",DJT,Trump Media & Technology Group Corp.
"Jan 28, 2025",29.94,30.54,29.32,30.04,30.04,"5,080,800",DJT,Trump Media & Technology Group Corp.
"Jan 27, 2025",31.40,31.83,29.15,29.53,29.53,"10,412,800",DJT,Trump Media & Technology Group Corp.
"Jan 24, 2025",33.93,34.64,32.58,32.71,32.71,"8,499,900",DJT,Trump Media & Technology Group Corp.
"Jan 23, 2025",33.08,34.55,32.80,33.55,33.55,"8,491,300",DJT,Trump Media & Technology Group Corp.
"Jan 22, 2025",34.54,35.50,33.50,33.61,33.61,"11,446,200",DJT,Trump Media & Technology Group Corp.
"Jan 21, 2025",37.59,37.74,34.42,35.59,35.59,"26,443,000",DJT,Trump Media & Technology Group Corp.
"Jan 17, 2025",41.72,43.46,39.57,40.03,40.03,"30,112,700",DJT,Trump Media & Technology Group Corp.
"Jan 16, 2025",42.35,42.85,40.01,41.00,41.00,"19,959,000",DJT,Trump Media & Technology Group Corp.
"Jan 15, 2025",40.62,42.25,39.45,40.83,40.83,"14,919,900",DJT,Trump Media & Technology Group Corp.
"Jan 14, 2025",39.33,41.65,38.21,39.35,39.35,"25,678,800",DJT,Trump Media & Technology Group Corp.
"Jan 13, 2025",34.92,43.31,34.76,42.91,42.91,"46,067,900",DJT,Trump Media & Technology Group Corp.
"Jan 10, 2025",34.09,35.83,33.65,35.31,35.31,"6,216,600",DJT,Trump Media & Technology Group Corp.
"Jan 8, 2025",34.68,34.87,33.56,34.54,34.54,"5,525,900",DJT,Trump Media & Technology Group Corp.
"Jan 7, 2025",36.21,36.98,34.80,35.22,35.22,"5,504,700",DJT,Trump Media & Technology Group Corp.
"Jan 6, 2025",35.10,36.70,35.08,36.17,36.17,"8,425,600",DJT,Trump Media & Technology Group Corp.
"Jan 3, 2025",33.91,35.20,33.56,34.62,34.62,"6,150,400",DJT,Trump Media & Technology Group Corp.
"Jan 2, 2025",34.34,35.14,33.33,34.02,34.02,"5,166,600",DJT,Trump Media & Technology Group Corp.
"Dec 31, 2024",34.20,35.49,34.03,34.10,34.10,"6,363,700",DJT,Trump Media & Technology Group Corp.
"Dec 30, 2024",34.97,35.00,33.41,34.12,34.12,"6,165,400",DJT,Trump Media & Technology Group Corp.
"Dec 27, 2024",36.94,37.08,35.85,36.08,36.08,"6,447,900",DJT,Trump Media & Technology Group Corp.
"Dec 26, 2024",35.58,37.30,35.58,37.03,37.03,"7,292,100",DJT,Trump Media & Technology Group Corp.
"Dec 24, 2024",35.22,36.15,35.07,35.79,35.79,"3,411,000",DJT,Trump Media & Technology Group Corp.
"Dec 23, 2024",34.45,35.63,33.70,35.23,35.23,"5,889,500",DJT,Trump Media & Technology Group Corp.
"Dec 20, 2024",34.11,35.19,32.75,34.71,34.71,"15,300,700",DJT,Trump Media & Technology Group Corp.
"Dec 19, 2024",35.50,36.64,34.92,35.41,35.41,"8,413,000",DJT,Trump Media & Technology Group Corp.
"Dec 18, 2024",37.81,38.65,34.38,35.32,35.32,"13,130,300",DJT,Trump Media & Technology Group Corp.
"Dec 17, 2024",38.47,38.83,37.02,38.01,38.01,"9,099,900",DJT,Trump Media & Technology Group Corp.
"Dec 16, 2024",37.04,38.66,36.74,38.50,38.50,"15,342,100",DJT,Trump Media & Technology Group Corp.
"Dec 13, 2024",36.30,37.35,36.07,36.59,36.59,"10,797,300",DJT,Trump Media & Technology Group Corp.
"Dec 12, 2024",36.04,37.61,35.28,36.20,36.20,"15,814,900",DJT,Trump Media & Technology Group Corp.
"Dec 11, 2024",34.00,36.29,33.57,36.23,36.23,"11,198,200",DJT,Trump Media & Technology Group Corp.
"Dec 10, 2024",35.24,36.09,32.71,34.16,34.16,"10,737,800",DJT,Trump Media & Technology Group Corp.
"Dec 9, 2024",35.03,36.18,34.62,35.34,35.34,"11,152,800",DJT,Trump Media & Technology Group Corp.
"Dec 6, 2024",33.80,35.15,33.40,34.74,34.74,"10,089,700",DJT,Trump Media & Technology Group Corp.
"Dec 5, 2024",36.29,36.76,33.66,33.74,33.74,"17,205,300",DJT,Trump Media & Technology Group Corp.
"Dec 4, 2024",33.85,35.85,33.21,35.26,35.26,"18,193,200",DJT,Trump Media & Technology Group Corp.
"Dec 3, 2024",32.05,34.44,32.00,33.66,33.66,"17,745,500",DJT,Trump Media & Technology Group Corp.
"Dec 2, 2024",31.86,33.03,31.08,32.49,32.49,"15,469,200",DJT,Trump Media & Technology Group Corp.
"Nov 29, 2024",30.30,32.36,30.17,31.60,31.60,"10,954,800",DJT,Trump Media & Technology Group Corp.
"Nov 27, 2024",30.54,30.99,29.89,30.44,30.44,"8,228,600",DJT,Trump Media & Technology Group Corp.
"Nov 26, 2024",30.14,31.64,30.11,30.51,30.51,"9,089,300",DJT,Trump Media & Technology Group Corp.
"Nov 25, 2024",30.77,31.25,29.83,30.75,30.75,"12,332,000",DJT,Trump Media & Technology Group Corp.
"Nov 22, 2024",31.00,31.58,30.43,30.77,30.77,"16,105,700",DJT,Trump Media & Technology Group Corp.
"Nov 21, 2024",30.04,31.88,28.76,30.49,30.49,"20,050,100",DJT,Trump Media & Technology Group Corp.
"Nov 20, 2024",30.54,31.45,30.00,30.10,30.10,"13,727,800",DJT,Trump Media & Technology Group Corp.
"Nov 19, 2024",30.00,30.83,29.10,29.87,29.87,"23,415,700",DJT,Trump Media & Technology Group Corp.
"Nov 18, 2024",27.92,33.77,26.56,32.78,32.78,"41,652,100",DJT,Trump Media & Technology Group Corp.
"Nov 15, 2024",26.91,28.88,26.81,28.10,28.10,"19,285,000",DJT,Trump Media & Technology Group Corp.
"Nov 14, 2024",29.73,29.78,26.36,26.99,26.99,"24,953,200",DJT,Trump Media & Technology Group Corp.
"Nov 13, 2024",30.97,31.22,28.80,28.93,28.93,"20,820,400",DJT,Trump Media & Technology Group Corp.
"Nov 12, 2024",31.72,32.00,30.00,30.47,30.47,"28,510,800",DJT,Trump Media & Technology Group Corp.
"Nov 11, 2024",33.45,34.40,31.62,33.41,33.41,"53,614,700",DJT,Trump Media & Technology Group Corp.
"Nov 8, 2024",28.17,33.03,26.70,31.91,31.91,"103,635,400",DJT,Trump Media & Technology Group Corp.
"Nov 7, 2024",30.94,31.96,27.61,27.69,27.69,"80,926,800",DJT,Trump Media & Technology Group Corp.
"Nov 6, 2024",44.46,45.77,34.13,35.96,35.96,"176,214,200",DJT,Trump Media & Technology Group Corp.
"Nov 5, 2024",37.52,40.74,31.45,33.94,33.94,"169,088,200",DJT,Trump Media & Technology Group Corp.
"Nov 4, 2024",30.34,35.76,28.88,34.34,34.34,"120,921,600",DJT,Trump Media & Technology Group Corp.
"Nov 1, 2024",33.12,35.68,30.03,30.56,30.56,"75,601,100",DJT,Trump Media & Technology Group Corp.
"Oct 31, 2024",41.92,43.86,33.41,35.34,35.34,"98,041,900",DJT,Trump Media & Technology Group Corp.
"Oct 30, 2024",47.53,49.87,38.96,40.03,40.03,"119,386,100",DJT,Trump Media & Technology Group Corp.
"Oct 29, 2024",53.75,54.68,43.52,51.51,51.51,"167,348,300",DJT,Trump Media & Technology Group Corp.
"Oct 28, 2024",42.17,47.68,41.25,47.36,47.36,"110,354,400",DJT,Trump Media & Technology Group Corp.
"Oct 25, 2024",35.24,39.45,35.07,38.95,38.95,"56,483,600",DJT,Trump Media & Technology Group Corp.
"Oct 24, 2024",34.67,36.35,33.08,34.95,34.95,"42,145,600",DJT,Trump Media & Technology Group Corp.
"Oct 23, 2024",35.47,36.77,34.53,35.91,35.91,"53,444,000",DJT,Trump Media & Technology Group Corp.
"Oct 22, 2024",32.08,34.58,31.32,34.39,34.39,"55,305,500",DJT,Trump Media & Technology Group Corp.
"Oct 21, 2024",29.99,31.65,29.32,31.30,31.30,"36,692,600",DJT,Trump Media & Technology Group Corp.
"Oct 18, 2024",29.27,30.94,29.18,29.58,29.58,"27,085,500",DJT,Trump Media & Technology Group Corp.
"Oct 17, 2024",31.02,31.18,28.51,29.90,29.90,"34,816,500",DJT,Trump Media & Technology Group Corp.
