Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name
"Jan 30, 2025",410.78,412.50,384.41,400.28,400.28,"98,092,900",TSLA,"Tesla, Inc."
"Jan 29, 2025",395.21,398.59,384.48,389.10,389.10,"68,033,600",TSLA,"Tesla, Inc."
"Jan 28, 2025",396.91,400.59,386.50,398.09,398.09,"48,910,700",TSLA,"Tesla, Inc."
"Jan 27, 2025",394.80,406.69,389.00,397.15,397.15,"58,125,500",TSLA,"Tesla, Inc."
"Jan 24, 2025",414.45,418.88,405.78,406.58,406.58,"56,427,100",TSLA,"Tesla, Inc."
"Jan 23, 2025",416.06,420.73,408.95,412.38,412.38,"50,690,600",TSLA,"Tesla, Inc."
"Jan 22, 2025",416.81,428.00,414.59,415.11,415.11,"60,963,300",TSLA,"Tesla, Inc."
"Jan 21, 2025",432.64,433.20,406.31,424.07,424.07,"87,320,900",TSLA,"Tesla, Inc."
"Jan 17, 2025",421.50,439.74,419.75,426.50,426.50,"94,991,400",TSLA,"Tesla, Inc."
"Jan 16, 2025",423.49,424.00,409.13,413.82,413.82,"68,335,200",TSLA,"Tesla, Inc."
"Jan 15, 2025",409.90,429.80,405.66,428.22,428.22,"81,375,500",TSLA,"Tesla, Inc."
"Jan 14, 2025",414.34,422.64,394.54,396.36,396.36,"84,565,000",TSLA,"Tesla, Inc."
"Jan 13, 2025",383.21,403.79,380.07,403.31,403.31,"67,580,500",TSLA,"Tesla, Inc."
"Jan 10, 2025",391.40,399.28,377.29,394.74,394.74,"62,287,300",TSLA,"Tesla, Inc."
"Jan 8, 2025",392.95,402.50,387.40,394.94,394.94,"73,038,800",TSLA,"Tesla, Inc."
"Jan 7, 2025",405.83,414.33,390.00,394.36,394.36,"75,699,500",TSLA,"Tesla, Inc."
"Jan 6, 2025",423.20,426.43,401.70,411.05,411.05,"85,516,500",TSLA,"Tesla, Inc."
"Jan 3, 2025",381.48,411.88,379.45,410.44,410.44,"95,423,300",TSLA,"Tesla, Inc."
"Jan 2, 2025",390.10,392.73,373.04,379.28,379.28,"109,710,700",TSLA,"Tesla, Inc."
"Dec 31, 2024",423.79,427.93,402.54,403.84,403.84,"76,825,100",TSLA,"Tesla, Inc."
"Dec 30, 2024",419.40,427.00,415.75,417.41,417.41,"64,941,000",TSLA,"Tesla, Inc."
"Dec 27, 2024",449.52,450.00,426.50,431.66,431.66,"82,666,800",TSLA,"Tesla, Inc."
"Dec 26, 2024",465.16,465.33,451.02,454.13,454.13,"76,366,400",TSLA,"Tesla, Inc."
"Dec 24, 2024",435.90,462.78,435.14,462.28,462.28,"59,551,800",TSLA,"Tesla, Inc."
"Dec 23, 2024",431.00,434.51,415.41,430.60,430.60,"72,698,100",TSLA,"Tesla, Inc."
"Dec 20, 2024",425.51,447.08,417.64,421.06,421.06,"132,216,200",TSLA,"Tesla, Inc."
"Dec 19, 2024",451.88,456.36,420.02,436.17,436.17,"118,566,100",TSLA,"Tesla, Inc."
